證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1525","江申","64,011","2,691,721","42.15","42.40","41.80","42.10","+0.55","56"
"1526","日馳","408,033","7,559,361","18.40","18.75","18.10","18.75","+0.40","247"
"1527","鑽全","352,392","14,556,827","41.80","41.80","41.10","41.30","+0.30","292"
"1528","恩德","497,821","3,922,828","7.88","7.88","7.88","7.88","+0.71","185"
"1529","樂士","66,502","876,576","13.15","13.30","12.85","13.20","+0.40","46"
"1530","亞崴","51,062","1,509,579","29.60","29.70","29.45","29.50","-0.10","24"
"1531","高林股","406,100","4,900,415","12.15","12.35","11.80","12.35","+0.30","93"
"1532","勤美","314,100","7,659,545","24.35","24.60","24.05","24.25"," 0.00","151"
"1533","車王電","25,130","659,067","26.20","26.45","25.95","26.30","+0.20","30"
"1535","中宇","22,060","703,320","31.70","32.00","31.70","32.00"," 0.00","19"
"1536","和大","2,635,404","229,564,852","86.90","88.20","86.40","86.80","+1.60","1,879"
"1537","廣隆","137,100","19,520,449","142.00","143.00","141.50","142.50","+0.50","104"
"1538","正峰新","5,000","12,120","2.49","2.49","2.40","2.43","-0.06","3"
"1539","巨庭","8,000","118,750","14.80","14.95","14.80","14.95","+0.20","8"
"1540","喬福","191,146","2,989,734","15.70","15.70","15.55","15.60","-0.05","87"
"1541","錩泰","20,001","627,831","31.35","31.50","31.35","31.35"," 0.00","18"
"1558","伸興","89,887","11,506,476","128.50","128.50","127.50","128.00"," 0.00","66"
"1560","中砂","285,212","16,230,411","56.80","57.40","56.60","57.00","+0.20","187"
"1568","倉佑","70,100","989,160","14.05","14.30","14.00","14.15","+0.10","47"
"1582","信錦","386,534","29,819,628","77.50","77.50","76.70","77.40","+0.50","293"
"1583","程泰","2,000","121,200","61.00","61.00","60.20","60.20","-0.80","2"
"1587","吉茂","86,182","1,135,411","13.05","13.40","13.00","13.25","+0.25","30"
"1589","永冠-KY","793,986","49,619,230","61.20","63.40","61.20","62.50","+1.30","552"
"1590","亞德客-KY","856,151","440,216,161","520.00","520.00","511.00","514.00","-3.00","834"
"1592","英瑞-KY","953,000","10,902,350","11.50","11.65","11.20","11.40","+0.05","314"
"1598","岱宇","1,450,212","54,811,525","38.00","38.35","37.05","37.05","-0.65","885"
"1603","華電","54,732","1,522,355","27.90","28.45","27.50","27.50","-0.60","37"
"1604","聲寶","386,326","7,166,388","18.55","18.60","18.50","18.60","+0.05","216"
